epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
35,10585.1,0.44789,0.35459,1.04035,0.01451,0.98187,0.94112,0.97193,0.8853,0.42753,0.337,1.05625,0.01804,4.39e-05,4.39e-05,4.39e-05
36,10887.4,0.45137,0.35962,1.04113,0.01352,0.98052,0.95191,0.97199,0.88596,0.43112,0.33212,1.05958,0.01886,4.225e-05,4.225e-05,4.225e-05
37,11189.5,0.44276,0.34889,1.04123,0.01286,0.97599,0.94701,0.97197,0.8856,0.42862,0.3344,1.0581,0.01882,4.06e-05,4.06e-05,4.06e-05
38,11491.6,0.43912,0.34869,1.03781,0.01244,0.98073,0.94873,0.97248,0.88441,0.42988,0.33077,1.06017,0.01858,3.895e-05,3.895e-05,3.895e-05
39,11793.8,0.4394,0.35957,1.03529,0.01332,0.97804,0.94799,0.9801,0.8882,0.42857,0.32859,1.05853,0.01844,3.73e-05,3.73e-05,3.73e-05
40,12095.9,0.4383,0.33907,1.04077,0.0138,0.9784,0.94799,0.98048,0.88848,0.42538,0.3235,1.05729,0.01862,3.565e-05,3.565e-05,3.565e-05
41,12398.1,0.4286,0.33651,1.01955,0.01224,0.97694,0.95191,0.97226,0.88931,0.42279,0.32638,1.05811,0.01826,3.4e-05,3.4e-05,3.4e-05
42,12700.5,0.43435,0.34539,1.03034,0.01296,0.98315,0.94897,0.97237,0.88813,0.42322,0.32659,1.05658,0.01863,3.235e-05,3.235e-05,3.235e-05
43,13002.6,0.4263,0.33453,1.01305,0.01338,0.97924,0.95191,0.97194,0.88836,0.42386,0.32992,1.0617,0.01882,3.07e-05,3.07e-05,3.07e-05
44,13304.7,0.42428,0.33141,1.02393,0.01303,0.97624,0.95388,0.9804,0.88937,0.42333,0.32813,1.05777,0.0185,2.905e-05,2.905e-05,2.905e-05
45,13607.1,0.42987,0.34112,1.03488,0.01329,0.9769,0.95441,0.97214,0.887,0.42081,0.32254,1.05785,0.01873,2.74e-05,2.74e-05,2.74e-05
46,13909.3,0.42002,0.33082,1.02926,0.01193,0.98271,0.94897,0.97251,0.89121,0.41968,0.32052,1.0555,0.01869,2.575e-05,2.575e-05,2.575e-05
47,14211.7,0.42383,0.34034,1.02408,0.01223,0.97832,0.95093,0.97197,0.88892,0.42045,0.32426,1.05921,0.01921,2.41e-05,2.41e-05,2.41e-05
48,14513.9,0.41316,0.32951,1.01377,0.01098,0.97966,0.95093,0.98017,0.89157,0.4183,0.32492,1.05465,0.0186,2.245e-05,2.245e-05,2.245e-05
49,14816.3,0.41865,0.32761,1.02617,0.01295,0.9779,0.95517,0.97241,0.89162,0.41547,0.32049,1.05077,0.01842,2.08e-05,2.08e-05,2.08e-05
50,15118.7,0.40695,0.32917,1.00587,0.01137,0.9808,0.95231,0.97243,0.89196,0.41427,0.3235,1.04965,0.01818,1.915e-05,1.915e-05,1.915e-05
51,15422.8,0.41165,0.32802,1.01453,0.01154,0.98031,0.95388,0.97209,0.89071,0.41534,0.32293,1.05403,0.01852,1.75e-05,1.75e-05,1.75e-05
52,15725.2,0.40983,0.32333,1.01737,0.01152,0.97754,0.95388,0.97214,0.89164,0.41508,0.32222,1.05354,0.01872,1.585e-05,1.585e-05,1.585e-05
53,16027.6,0.40999,0.32882,1.01337,0.01014,0.97879,0.95119,0.9722,0.89229,0.4141,0.32136,1.05389,0.01848,1.42e-05,1.42e-05,1.42e-05
54,16330.2,0.4036,0.3199,1.01287,0.01051,0.98176,0.95066,0.97226,0.89152,0.41654,0.32106,1.05503,0.01873,1.255e-05,1.255e-05,1.255e-05
55,16632.6,0.41281,0.32743,1.02202,0.01213,0.98258,0.94897,0.97233,0.89337,0.41498,0.31941,1.0535,0.0186,1.09e-05,1.09e-05,1.09e-05
56,16935.2,0.42352,0.32192,1.02401,0.011,0.98035,0.94897,0.97207,0.89285,0.41572,0.32084,1.05401,0.01845,9.25e-06,9.25e-06,9.25e-06
57,17237.5,0.41294,0.32788,1.01477,0.01193,0.98347,0.94701,0.97202,0.89164,0.41734,0.32166,1.05577,0.01862,7.6e-06,7.6e-06,7.6e-06
58,17539.8,0.41327,0.32751,1.01326,0.01082,0.97589,0.9532,0.97206,0.89188,0.41544,0.31944,1.05319,0.01838,5.95e-06,5.95e-06,5.95e-06
59,17842,0.41217,0.33464,1.0169,0.01155,0.97592,0.95445,0.97205,0.89319,0.41543,0.32084,1.05374,0.01853,4.3e-06,4.3e-06,4.3e-06
60,18144.1,0.41093,0.31891,1.01352,0.01248,0.97692,0.95558,0.98012,0.89379,0.41423,0.32093,1.05277,0.01842,2.65e-06,2.65e-06,2.65e-06
