epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_specificity,train_f1,train_fnr,train_fpr,train_npv,train_tp,train_fp,train_tn,train_fn,train_loss_image,train_loss_hard_negative,train_loss_ranking,train_loss_auxiliary,train_skipped_updates,val_threshold,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_specificity,val_f1,val_fnr,val_fpr,val_npv,val_tp,val_fp,val_tn,val_fn,val_recall_constraint_met,val_display_threshold,val_display_loss,val_display_accuracy,val_display_balanced_accuracy,val_display_precision,val_display_recall,val_display_specificity,val_display_f1,val_display_fnr,val_display_fpr,val_display_npv,val_display_tp,val_display_fp,val_display_tn,val_display_fn
11,0.0001412669276645042,0.24295925949770142,0.9995826377295493,0.9995826377295493,1.0,0.9991652754590985,1.0,0.9995824634655532,0.0008347245409015025,0.0,0.9991659716430359,1197,0,1198,1,0.017787447018869133,0.0007715962430927125,0.0,0.4495720265305699,0,0.18,0.3611518767215342,0.883,0.883,0.8675623800383877,0.904,0.862,0.8854064642507345,0.096,0.138,0.8997912317327766,452,69,431,48,True,0.2,0.3611518767215342,0.886,0.886,0.8799212598425197,0.894,0.878,0.886904761904762,0.106,0.122,0.8922764227642277,447,61,439,53
12,0.00013159268244311977,0.22872919287028814,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1198,0,1198,0,0.014381120597107184,0.0006609171273195355,0.0,0.42803522795189997,0,0.17,0.3475700753001084,0.882,0.882,0.8659003831417624,0.904,0.86,0.8845401174168297,0.096,0.14,0.899581589958159,452,70,430,48,True,0.2,0.3475700753001084,0.889,0.889,0.8897795591182365,0.888,0.89,0.888888888888889,0.112,0.11,0.8882235528942116,444,55,445,56
13,0.00012158325739095813,0.2213343105501245,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1198,0,1198,0,0.011538716155152538,0.0002599079217757868,0.0,0.4193312825762569,0,0.17,0.3950860979655898,0.875,0.875,0.8571428571428571,0.9,0.85,0.8780487804878048,0.1,0.15,0.8947368421052632,450,75,425,50,True,0.2,0.3950860979655898,0.882,0.882,0.8882113821138211,0.874,0.89,0.881048387096774,0.126,0.11,0.8759842519685039,437,55,445,63
14,0.00011134831786349768,0.2223993276863146,0.9991652754590985,0.9991652754590985,0.9991652754590985,0.9991652754590985,0.9991652754590985,0.9991652754590985,0.0008347245409015025,0.0008347245409015025,0.9991652754590985,1197,1,1197,1,0.013299572960985126,0.0010741016322603832,0.0,0.4171254072145548,0,0.21,0.32614921724422413,0.881,0.881,0.8670520231213873,0.9,0.862,0.8832188420019627,0.1,0.138,0.896049896049896,450,69,431,50,True,0.2,0.32614921724422413,0.878,0.878,0.8606870229007634,0.902,0.854,0.880859375,0.098,0.146,0.8970588235294118,451,73,427,49
15,0.000101,0.21260305950558045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1198,0,1198,0,0.009449972326436604,0.0005703681086251071,0.0,0.40573580699890405,0,0.28,0.32878148015028,0.881,0.881,0.8670520231213873,0.9,0.862,0.8832188420019627,0.1,0.138,0.896049896049896,450,69,431,50,True,0.2,0.32878148015028,0.865,0.865,0.820738137082601,0.934,0.796,0.8737137511693172,0.066,0.204,0.9234338747099768,467,102,398,33
16,9.06516821365023e-05,0.20325881081053332,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1198,0,1198,0,0.0075732155886474055,0.0003761214716049014,0.0,0.3909950692685498,0,0.28,0.32909961215118877,0.883,0.883,0.8689788053949904,0.902,0.864,0.8851815505397449,0.098,0.136,0.8981288981288982,451,68,432,49,True,0.2,0.32909961215118877,0.861,0.861,0.8228980322003577,0.92,0.802,0.8687440982058545,0.08,0.198,0.909297052154195,460,99,401,40
17,8.041674260904179e-05,0.210187158272143,0.9987479131886478,0.9987479131886478,0.9991645781119465,0.998330550918197,0.9991652754590985,0.9987473903966597,0.001669449081803005,0.0008347245409015025,0.9983319432860718,1196,1,1197,2,0.011712801829291405,0.0011062852530864585,0.0006879956176961602,0.3954984304403423,0,0.18,0.3470386328140586,0.876,0.876,0.8587786259541985,0.9,0.852,0.87890625,0.1,0.148,0.8949579831932774,450,74,426,50,True,0.2,0.3470386328140586,0.877,0.877,0.8717948717948718,0.884,0.87,0.87785501489573,0.116,0.13,0.8823529411764706,442,65,435,58
18,7.040731755688018e-05,0.20464333160492734,0.9995826377295493,0.9995826377295493,0.9991659716430359,1.0,0.9991652754590985,0.9995828118481436,0.0,0.0008347245409015025,1.0,1198,1,1197,0,0.008043735277199983,0.0005134857749548555,0.0,0.3926857073040359,0,0.17,0.3705947132775523,0.864,0.864,0.8395522388059702,0.9,0.828,0.8687258687258688,0.1,0.172,0.8922413793103449,450,86,414,50,True,0.2,0.3705947132775523,0.869,0.869,0.858252427184466,0.884,0.854,0.870935960591133,0.116,0.146,0.8804123711340206,442,73,427,58
19,6.073307233549578e-05,0.20133736535583394,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1198,0,1198,0,0.007241576656004187,0.0006845392361261923,0.0,0.3875070384428378,0,0.17,0.38305578088187137,0.872,0.872,0.8509433962264151,0.902,0.842,0.8757281553398059,0.098,0.158,0.8957446808510638,451,79,421,49,True,0.2,0.38305578088187137,0.872,0.872,0.8675889328063241,0.878,0.866,0.8727634194831013,0.122,0.134,0.8765182186234818,439,67,433,61
20,5.1500000000000005e-05,0.1950491420016663,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1198,0,1198,0,0.005390093280142406,0.0002745026157600828,0.0,0.379043593331052,0,0.14,0.38411226913626617,0.857,0.857,0.8263254113345521,0.904,0.81,0.8634192932187202,0.096,0.19,0.8940397350993378,452,95,405,48,True,0.2,0.38411226913626617,0.866,0.866,0.8674698795180723,0.864,0.868,0.8657314629258517,0.136,0.132,0.8645418326693227,432,66,434,68
